,epoch count,train loss,val loss,train acc,val acc
0,1,4.456311200116132,2.5787350221664185,0.21244816938685487,0.44142857142857145
1,2,1.4178453724126558,2.6614171006944445,0.6799470666078518,0.4635714285714286
2,3,0.7782371825463062,1.7688980296301464,0.810992501102779,0.6104761904761905
3,4,0.4925627026472006,1.8295748174758184,0.8757123952359948,0.5869047619047619
4,5,0.38563902682817736,0.6955384075830853,0.9022320247022497,0.829920634920635
5,6,0.31164068493757163,1.2355071803501674,0.9193383325981473,0.719047619047619
6,7,0.25863566028105245,1.0661101495651972,0.9322276135862373,0.748968253968254
7,8,0.22057765950490762,0.4546835193936787,0.9414556682840759,0.8873015873015873
8,9,0.1863148119132798,0.3452099912128751,0.9499867666519629,0.9163492063492064
9,10,0.16271615827137287,0.920890868656219,0.9556506396118218,0.7893650793650794
10,11,0.13411243793529434,3.191874447777158,0.9622496691662991,0.44373015873015875
